FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
885513|Siegrest Draw|Valley|NM|35|Eddy|015|323815N|1043256W|32.6376116|-104.5488549|323859N|1043732W|32.6498321|-104.6255227|1095|3592|Parish Ranch|11/13/1980|
885526|AAA Tank|Reservoir|NM|35|Eddy|015|321043N|1041456W|32.1786543|-104.2489615|||||1006|3300|Bond Draw|11/13/1980|06/23/2011
885566|Adobe Draw|Valley|NM|35|Eddy|015|322820N|1042141W|32.4723375|-104.361345|322704N|1042129W|32.4511111|-104.3580556|1007|3304|Carlsbad West|11/13/1980|
885567|Adobe Flat|Flat|NM|35|Eddy|015|322849N|1042119W|32.4803932|-104.3552339|||||1006|3300|Carlsbad West|11/13/1980|
885607|Alacran Hills|Range|NM|35|Eddy|015|322812N|1041055W|32.4701183|-104.1818931|||||1009|3310|Carlsbad East|11/13/1980|
885684|Alkali Lake|Lake|NM|35|Eddy|015|323039N|1041133W|32.5109371|-104.1924802|||||966|3169|Angel Draw|11/13/1980|06/23/2011
885697|Allen Well|Well|NM|35|Eddy|015|322309N|1042120W|32.3859489|-104.3555084|||||1038|3405|Carlsbad West|11/13/1980|
885746|Anderson Young Ranch|Locale|NM|35|Eddy|015|325046N|1044615W|32.8462175|-104.7708042|||||1277|4190|Sixteenmile Draw East|11/13/1980|
885751|Andrews Well|Well|NM|35|Eddy|015|322531N|1040553W|32.4253974|-104.0980001|||||958|3143|Indian Flats|11/13/1980|
885753|Angel Draw|Valley|NM|35|Eddy|015|323344N|1041109W|32.5623397|-104.1857846|323423N|1041406W|32.5730556|-104.235|985|3232|Angel Draw|11/13/1980|
885754|Angel Ranch|Locale|NM|35|Eddy|015|323512N|1041148W|32.5867839|-104.1966188|||||1000|3281|Angel Draw|11/13/1980|
885785|Antelope Sink|Basin|NM|35|Eddy|015|324350N|1044000W|32.7306651|-104.6666347|||||1179|3868|Antelope Sink|11/13/1980|
885856|Apple Draw|Valley|NM|35|Eddy|015|320605N|1040738W|32.1015112|-104.1271577|320448N|1040924W|32.08|-104.1566667|912|2992|Cottonwood Hills|11/13/1980|
885857|Apple Tank|Reservoir|NM|35|Eddy|015|320536N|1040822W|32.0932641|-104.1393371|||||927|3041|Cottonwood Hills|11/13/1980|06/23/2011
885901|Arnold Well|Well|NM|35|Eddy|015|324055N|1043428W|32.6820556|-104.5744111|||||1117|3665|Parish Ranch|11/13/1980|
885911|Artesia|Populated Place|NM|35|Eddy|015|325032N|1042412W|32.8423345|-104.4032963|||||1030|3379|Artesia|11/13/1980|03/21/2008
885955|Avalon Hills|Range|NM|35|Eddy|015|322816N|1041453W|32.4712286|-104.2480062|||||969|3179|Carlsbad East|11/13/1980|
885990|Bailey Well|Locale|NM|35|Eddy|015|320625N|1041622W|32.1070644|-104.2727198|||||989|3245|Jumping Spring|11/13/1980|
886017|Baldridge Well|Well|NM|35|Eddy|015|321253N|1042619W|32.2148368|-104.4385612|||||1257|4124|Carlsbad Caverns|11/13/1980|
886109|Bates Ranch|Locale|NM|35|Eddy|015|323249N|1040937W|32.5470623|-104.1602279|||||983|3225|Angel Draw|11/13/1980|
886125|Beaman Tank|Reservoir|NM|35|Eddy|015|321234N|1041145W|32.2094147|-104.1957693|||||979|3212|Bond Draw|11/13/1980|06/23/2011
886137|Bear Grass Draw|Valley|NM|35|Eddy|015|324501N|1040340W|32.7503948|-104.0610646|325223N|1040454W|32.8730556|-104.0816667|1057|3468|Red Lake SE|11/13/1980|
886143|Beardon Well|Well|NM|35|Eddy|015|322101N|1042738W|32.3503912|-104.4605114|||||1180|3871|Carnero Peak|11/13/1980|
886172|Beeson Station|Locale|NM|35|Eddy|015|324658N|1035735W|32.7828953|-103.9596741|||||1073|3520|Loco Hills|11/13/1980|
886200|Ben Slaughter Draw|Valley|NM|35|Eddy|015|320148N|1041741W|32.0301208|-104.2946632|320159N|1042511W|32.0331742|-104.4196671|1019|3343|Jumping Spring|11/13/1980|
886201|Ben Slaughter Spring|Spring|NM|35|Eddy|015|320252N|1042023W|32.0478335|-104.3396907|||||1067|3501|Jumping Spring|11/13/1980|04/19/2011
886225|Benson Ranch|Locale|NM|35|Eddy|015|323730N|1040125W|32.6251187|-104.02356|||||1012|3320|Illinois Camp SE|11/13/1980|
886329|Big Sinks|Area|NM|35|Eddy|015|320905N|1034850W|32.1515129|-103.8138143|||||1025|3363|Big Sinks|11/13/1980|
886339|Big Tank|Reservoir|NM|35|Eddy|015|322946N|1044317W|32.4960124|-104.7212982|||||1300|4265|Cawley Draw|11/13/1980|06/23/2011
886340|Big Tank|Reservoir|NM|35|Eddy|015|324146N|1044137W|32.6960551|-104.6937207|||||1199|3934|Antelope Sink|11/13/1980|06/23/2011
886443|Black Muley Mill|Locale|NM|35|Eddy|015|323650N|1043057W|32.6140013|-104.5157988|||||1077|3533|Foster Ranch|11/13/1980|
886523|Blue Spring|Spring|NM|35|Eddy|015|321050N|1041754W|32.1804839|-104.2982382|||||1012|3320|Black River Village|11/13/1980|04/19/2011
886571|Bogle Tank|Reservoir|NM|35|Eddy|015|325631N|1035244W|32.9420203|-103.8789015|||||1243|4078|Henshaw Tank|11/13/1980|06/23/2011
886579|Bond Draw|Valley|NM|35|Eddy|015|321351N|1040934W|32.2309535|-104.1593849|321137N|1041226W|32.1936111|-104.2072222|943|3094|Bond Draw|11/13/1980|
886580|Bond Ranch|Locale|NM|35|Eddy|015|322544N|1040837W|32.4290079|-104.1435573|||||944|3097|Carlsbad East|11/13/1980|
886585|Bone Tank Draw|Valley|NM|35|Eddy|015|323020N|1043443W|32.5056662|-104.5785766|322754N|1044116W|32.4651075|-104.6877431|1131|3711|Foster Ranch|11/13/1980|
886601|Booker Camp|Locale|NM|35|Eddy|015|324927N|1035647W|32.8242837|-103.9463408|||||1116|3661|Loco Hills|11/13/1980|
